,compound,neutral,negative,positive
1941,0.9454,0.821,0.048,0.131
1942,0.9449,0.849,0.072,0.079
1943,-0.8402,0.861,0.139,0.0
1944,-0.936,0.939,0.055,0.006
1945,-0.4215,0.808,0.123,0.07
1946,-0.0139,0.856,0.072,0.072
1947,-0.7783,0.931,0.069,0.0
1948,0.9246,0.797,0.058,0.145
1949,-0.6808,0.796,0.163,0.041
1950,0.9329,0.736,0.071,0.193
1951,0.9109,0.779,0.069,0.152
1952,-0.8579,0.801,0.157,0.042
1953,0.8431,0.816,0.066,0.118
1954,-0.9118,0.907,0.093,0.0
1955,-0.7783,0.86,0.14,0.0
1956,-0.1027,0.841,0.081,0.078
1957,0.7351,0.732,0.118,0.15
1958,-0.7783,0.89,0.11,0.0
1959,-0.7783,0.879,0.121,0.0
1960,-0.872,0.795,0.188,0.017
1961,-0.8402,0.911,0.089,0.0
1962,-0.7783,0.839,0.161,0.0
1963,-0.4939,0.782,0.143,0.075
1964,-0.9254,0.775,0.172,0.053
1965,-0.7579,0.916,0.073,0.011
1966,-0.8919,0.771,0.147,0.082
1967,-0.7783,0.866,0.134,0.0
1968,-0.7783,0.872,0.128,0.0
1969,-0.7783,0.85,0.15,0.0
1970,0.9825,0.879,0.033,0.087
1971,-0.8516,0.895,0.08,0.025
1972,-0.8779,0.733,0.223,0.044
1973,0.1321,0.816,0.09,0.093
1974,0.8636,0.755,0.082,0.163
1975,-0.7783,0.932,0.068,0.0
1976,-0.5423,0.833,0.087,0.08
1977,0.7596,0.847,0.066,0.088
1978,0.3257,0.842,0.075,0.083
1979,-0.6486,0.83,0.133,0.038
1980,-0.7783,0.872,0.128,0.0
1981,0.5759,0.861,0.065,0.074
1982,-0.7783,0.85,0.15,0.0
1983,0.9651,0.864,0.042,0.095
1984,-0.7783,0.827,0.173,0.0
1985,-0.6705,0.888,0.07,0.043
1986,0.4019,0.892,0.047,0.062
1987,-0.7579,0.867,0.116,0.017
1988,-0.1779,0.863,0.076,0.061
1989,-0.6597,0.811,0.149,0.041
1990,-0.7506,0.815,0.159,0.025
1991,-0.7783,0.864,0.136,0.0
1992,-0.6808,0.894,0.085,0.021
1993,-0.25,0.895,0.059,0.046
1994,-0.7717,0.924,0.068,0.008
1995,0.9549,0.814,0.055,0.131
1996,-0.6908,0.782,0.138,0.08
1997,-0.9468,0.867,0.12,0.013
1998,-0.6908,0.817,0.119,0.064
1999,-0.1779,0.837,0.084,0.079
2000,-0.8196,0.823,0.13,0.047
2001,-0.7783,0.836,0.164,0.0
2002,0.5574,0.771,0.1,0.129
2003,-0.6369,0.838,0.115,0.047
2004,-0.7424,0.859,0.085,0.055
2005,-0.9393,0.836,0.108,0.055
2006,-0.886,0.903,0.097,0.0
2007,0.9746,0.806,0.066,0.128
2008,-0.8403,0.888,0.081,0.031
2009,-0.1436,0.875,0.067,0.058
2010,0.9709,0.786,0.06,0.154
2011,-0.6705,0.926,0.059,0.015
2012,-0.3182,0.78,0.116,0.104
2013,-0.5994,0.898,0.065,0.036
2014,0.34,0.909,0.038,0.053
2015,0.3542,0.792,0.088,0.12
2016,0.867,0.898,0.048,0.054
2017,-0.1531,0.833,0.092,0.075
2018,-0.9969,0.819,0.134,0.047
2019,-0.8689,0.853,0.147,0.0
2020,0.6403,0.831,0.085,0.084
2021,0.128,0.745,0.138,0.116
2022,0.6249,0.774,0.106,0.12
2023,-0.4215,0.813,0.119,0.068
2024,-0.6908,0.839,0.13,0.031
2025,-0.8143,0.881,0.093,0.027
2026,0.9846,0.81,0.034,0.155
2027,0.9917,0.797,0.029,0.173
2028,-0.7469,0.881,0.102,0.017
2029,-0.3655,0.915,0.051,0.034
2030,-0.6239,0.865,0.085,0.05
2031,0.6497,0.885,0.044,0.07
2032,-0.0258,0.844,0.083,0.073
2033,-0.0772,0.846,0.089,0.065
2034,-0.9993,0.853,0.102,0.046
2035,-0.7783,0.953,0.047,0.0
2036,-0.934,0.848,0.103,0.049
2037,0.8891,0.769,0.098,0.133
2038,-0.168,0.904,0.053,0.043
2039,0.25,0.842,0.079,0.079
2040,-0.8796,0.788,0.179,0.033
2041,-0.798,0.876,0.077,0.047
2042,0.9201,0.856,0.038,0.107
2043,-0.6501,0.879,0.069,0.052
2044,-0.9286,0.772,0.201,0.028
2045,-0.8777,0.81,0.136,0.053
2046,0.945,0.84,0.043,0.117
2047,-0.5719,0.927,0.049,0.023
2048,-0.6361,0.885,0.074,0.041
2049,-0.9274,0.754,0.246,0.0
2050,0.6217,0.908,0.044,0.048
2051,-0.4995,0.89,0.064,0.046
2052,-0.9911,0.794,0.206,0.0
2053,-0.7783,0.853,0.147,0.0
2054,-0.9934,0.808,0.161,0.03
2055,-0.8934,0.95,0.05,0.0
2056,-0.7783,0.845,0.155,0.0
2057,-0.9572,0.891,0.078,0.03
2058,-0.6486,0.819,0.141,0.04
2059,-0.9309,0.834,0.098,0.068
2060,0.1179,0.81,0.093,0.097
2061,0.9963,0.799,0.067,0.135
2062,-0.5106,0.848,0.101,0.052
2063,-0.9411,0.831,0.103,0.066
2064,-0.9411,0.831,0.103,0.066
2065,0.9773,0.848,0.069,0.083
2066,-0.8831,0.885,0.091,0.024
2067,-0.4588,0.864,0.082,0.054
2068,0.9607,0.846,0.074,0.08
2069,-0.6124,0.9,0.06,0.039
2070,-0.8316,0.833,0.167,0.0
2071,-0.765,0.913,0.058,0.03
2072,-0.1926,0.911,0.043,0.047
2073,0.7319,0.888,0.044,0.068
2074,-0.7959,0.862,0.138,0.0
2075,0.0516,0.823,0.086,0.092
2076,-0.6072,0.902,0.054,0.044
2077,0.6767,0.863,0.059,0.078
2078,0.9867,0.718,0.12,0.162
2079,-0.9992,0.795,0.163,0.042
2080,0.6767,0.864,0.058,0.078
2081,-0.7783,0.816,0.184,0.0
2082,-0.6705,0.882,0.094,0.024
2083,-0.7783,0.968,0.032,0.0
2084,-0.9489,0.856,0.078,0.065
2085,-0.7219,0.859,0.113,0.028
2086,-0.9219,0.84,0.083,0.077
2087,0.9892,0.812,0.08,0.108
2088,0.9589,0.813,0.059,0.128
2089,-0.7311,0.83,0.143,0.027
2090,-0.6705,0.863,0.1,0.037
2091,-0.7783,0.827,0.173,0.0
2092,0.96,0.84,0.056,0.104
2093,-0.2289,0.901,0.045,0.055
2094,0.9896,0.768,0.094,0.137
2095,0.9308,0.726,0.092,0.182
2096,-0.9892,0.928,0.064,0.008
2097,0.7171,0.791,0.089,0.12
2098,-0.5789,0.906,0.058,0.037
2099,-0.7783,0.83,0.17,0.0
2100,-0.9988,0.72,0.275,0.005
2101,-0.9807,0.826,0.098,0.076
2102,-0.7926,0.907,0.068,0.025
2103,-0.991,0.827,0.103,0.07
2104,0.9938,0.746,0.05,0.204
2105,-0.9909,0.829,0.101,0.07
2106,-0.347,0.802,0.105,0.093
2107,-0.8074,0.861,0.116,0.023
2108,-0.8248,0.883,0.117,0.0
2109,-0.6705,0.875,0.099,0.026
2110,-0.7745,0.877,0.094,0.028
2111,-0.7783,0.872,0.128,0.0
2112,-0.8402,0.882,0.118,0.0
2113,-0.264,0.911,0.05,0.039
2114,0.2714,0.798,0.103,0.1
2115,-0.4137,0.875,0.07,0.055
2116,-0.5202,0.903,0.065,0.032
2117,-0.1027,0.914,0.044,0.042
2118,-0.9916,0.802,0.117,0.082
2119,-0.7783,0.848,0.152,0.0
2120,-0.7783,0.885,0.115,0.0
2121,-0.3182,0.799,0.115,0.085
2122,-0.5813,0.84,0.119,0.041
2123,-0.7783,0.911,0.089,0.0
2124,-0.9911,0.728,0.272,0.0
2125,-0.0772,0.865,0.073,0.062
2126,-0.9911,0.728,0.272,0.0
2127,-0.595,0.885,0.087,0.029
2128,0.9642,0.77,0.072,0.158
2129,-0.7783,0.842,0.158,0.0
2130,-0.9981,0.727,0.273,0.0
2131,-0.9524,0.856,0.133,0.011
2132,-0.9062,0.82,0.131,0.049
2133,-0.7783,0.842,0.158,0.0
2134,-0.7579,0.829,0.149,0.022
2135,0.9578,0.846,0.054,0.1
2136,-0.4939,0.917,0.055,0.029
2137,0.9634,0.725,0.103,0.173
2138,-0.6908,0.906,0.076,0.018
2139,0.0516,0.853,0.076,0.071
2140,0.9994,0.823,0.072,0.105
2141,0.9881,0.811,0.059,0.13
2142,0.9895,0.831,0.052,0.117
2143,0.9881,0.791,0.064,0.145
2144,0.9845,0.801,0.062,0.136
2145,-0.1511,0.762,0.139,0.099
2146,-0.6908,0.886,0.092,0.022
2147,-0.5372,0.902,0.066,0.032
2148,-0.3954,0.881,0.075,0.044
2149,-0.987,0.864,0.099,0.037
2150,0.9905,0.808,0.056,0.136
2151,0.9786,0.835,0.059,0.106
2152,-0.7783,0.868,0.132,0.0
2153,-0.7391,0.885,0.097,0.017
2154,0.9323,0.786,0.078,0.136
2155,0.8352,0.851,0.065,0.084
2156,-0.7506,0.895,0.079,0.026
2157,0.9828,0.835,0.055,0.11
2158,-0.7783,0.855,0.145,0.0
2159,-0.1531,0.802,0.102,0.095
2160,0.128,0.791,0.114,0.095
2161,0.0343,0.852,0.073,0.075
2162,-0.7717,0.862,0.122,0.015
2163,-0.764,0.868,0.1,0.032
2164,-0.9915,0.89,0.063,0.047
2165,-0.4939,0.81,0.135,0.055
2166,0.9812,0.791,0.071,0.138
2167,0.8338,0.803,0.079,0.118
2168,-0.7945,0.868,0.093,0.04
2169,-0.9961,0.744,0.145,0.111
2170,-0.6124,0.875,0.081,0.044
2171,-0.9987,0.761,0.143,0.096
2172,0.9884,0.804,0.044,0.152
2173,-0.8634,0.854,0.123,0.023
2174,0.9267,0.819,0.07,0.112
2175,-0.296,0.755,0.142,0.104
2176,0.594,0.82,0.074,0.106
2177,-0.6404,0.872,0.078,0.05
2178,0.1779,0.837,0.078,0.085
2179,-0.8979,0.828,0.155,0.018
2180,-0.6872,0.876,0.072,0.052
2181,-0.7783,0.848,0.152,0.0
2182,-0.1779,0.774,0.117,0.108
2183,-0.7998,0.887,0.113,0.0
2184,0.9804,0.705,0.072,0.222
2185,-0.8647,0.91,0.07,0.02
2186,0.9231,0.807,0.051,0.141
2187,-0.7783,0.836,0.109,0.055
2188,-0.1531,0.873,0.075,0.053
2189,0.8689,0.813,0.073,0.114
2190,-0.6705,0.892,0.085,0.022
2191,0.1531,0.898,0.049,0.052
2192,-0.7219,0.869,0.105,0.026
2193,0.4215,0.912,0.039,0.049
2194,0.8299,0.899,0.036,0.065
2195,-0.504,0.839,0.101,0.06
2196,0.9698,0.801,0.065,0.134
2197,-0.6705,0.871,0.102,0.027
2198,-0.0258,0.816,0.098,0.086
2199,0.9921,0.787,0.038,0.175
2200,-0.5423,0.799,0.146,0.055
2201,0.9973,0.725,0.117,0.158
2202,0.5422,0.784,0.102,0.114
2203,-0.7783,0.895,0.105,0.0
2204,-0.8818,0.888,0.085,0.028
2205,-0.7783,0.885,0.115,0.0
2206,-0.886,0.903,0.097,0.0
2207,0.4939,0.851,0.066,0.083
2208,-0.3802,0.88,0.07,0.05
2209,-0.7783,0.848,0.152,0.0
2210,-0.5661,0.862,0.093,0.046
2211,0.5514,0.882,0.047,0.071
2212,0.98,0.766,0.086,0.147
2213,0.9353,0.885,0.033,0.082
2214,0.8311,0.876,0.049,0.075
2215,0.8942,0.883,0.042,0.075
2216,-0.8402,0.841,0.159,0.0
2217,-0.9041,0.896,0.078,0.026
2218,-0.7783,0.85,0.15,0.0
2219,-0.7783,0.848,0.152,0.0
2220,-0.6249,0.837,0.125,0.038
2221,0.9832,0.803,0.057,0.14
2222,-0.7626,0.891,0.059,0.049
2223,0.9326,0.795,0.064,0.141
2224,0.5499,0.883,0.054,0.063
2225,-0.7184,0.822,0.148,0.03
2226,-0.7783,0.842,0.158,0.0
2227,-0.9968,0.873,0.07,0.057
2228,0.0202,0.833,0.083,0.084
2229,-0.5106,0.866,0.089,0.045
2230,0.9991,0.76,0.064,0.176
2231,-0.7783,0.833,0.167,0.0
2232,0.862,0.913,0.037,0.05
2233,-0.6908,0.839,0.13,0.031
2234,0.5719,0.761,0.094,0.145
2235,-0.8271,0.738,0.177,0.085
2236,0.0716,0.822,0.096,0.082
2237,0.7334,0.855,0.062,0.083
2238,0.3045,0.853,0.076,0.071
2239,-0.9204,0.879,0.089,0.032
2240,-0.6808,0.823,0.142,0.035
2241,0.6506,0.861,0.064,0.075
2242,0.8683,0.859,0.058,0.082
2243,0.9992,0.767,0.063,0.171
2244,0.2382,0.814,0.08,0.106
2245,0.9528,0.787,0.051,0.162
2246,0.9186,0.807,0.091,0.102
2247,0.9969,0.712,0.046,0.242
2248,-0.7941,0.844,0.13,0.026
2249,0.998,0.703,0.041,0.257
2250,0.998,0.705,0.04,0.254
2251,-0.9493,0.864,0.109,0.027
2252,-0.9769,0.84,0.126,0.034
2253,-0.25,0.859,0.08,0.061
2254,-0.7783,0.826,0.128,0.046
2255,0.6997,0.841,0.071,0.088
2256,0.9714,0.811,0.058,0.131
2257,-0.3818,0.823,0.103,0.074
2258,-0.8519,0.776,0.148,0.076
2259,-0.0772,0.89,0.059,0.051
2260,-0.824,0.812,0.138,0.049
2261,-0.5709,0.77,0.129,0.1
2262,0.8276,0.876,0.049,0.075
2263,0.9517,0.86,0.034,0.107
2264,-0.964,0.868,0.1,0.032
2265,-0.7783,0.874,0.126,0.0
2266,0.7089,0.848,0.065,0.087
2267,-0.7324,0.889,0.059,0.052
2268,-0.9787,0.835,0.114,0.051
2269,-0.7783,0.853,0.147,0.0
2270,-0.4939,0.896,0.069,0.036
2271,0.873,0.818,0.07,0.112
2272,-0.6705,0.877,0.098,0.026
2273,-0.8504,0.828,0.154,0.017
2274,0.8573,0.826,0.079,0.095
2275,-0.4215,0.831,0.108,0.061
2276,-0.1779,0.83,0.092,0.078
2277,0.8316,0.805,0.067,0.127
2278,0.8919,0.827,0.06,0.114
2279,-0.7783,0.833,0.167,0.0
2280,0.8886,0.816,0.072,0.112
2281,-0.9184,0.792,0.176,0.032
2282,-0.6448,0.958,0.033,0.009
2283,0.0772,0.828,0.085,0.087
2284,-0.5803,0.842,0.107,0.051
2285,-0.7783,0.845,0.155,0.0
2286,0.1531,0.838,0.078,0.084
2287,-0.5346,0.837,0.084,0.079
2288,0.9322,0.802,0.052,0.146
2289,-0.631,0.873,0.081,0.046
2290,-0.7303,0.897,0.074,0.029
2291,-0.5994,0.863,0.088,0.049
2292,-0.3883,0.887,0.063,0.049
2293,0.4492,0.792,0.099,0.109
2294,0.9699,0.837,0.056,0.107
2295,-0.7303,0.821,0.145,0.034
2296,-0.7783,0.858,0.142,0.0
2297,-0.3695,0.908,0.052,0.041
2298,-0.6841,0.762,0.144,0.094
2299,0.0258,0.904,0.051,0.045
2300,-0.7783,0.862,0.138,0.0
2301,-0.6235,0.894,0.071,0.035
2302,-0.996,0.729,0.271,0.0
2303,0.6747,0.897,0.045,0.058
2304,0.717,0.848,0.062,0.09
2305,-0.5215,0.835,0.101,0.064
2306,0.5849,0.824,0.081,0.095
2307,0.9979,0.761,0.043,0.195
2308,-0.7793,0.838,0.121,0.041
2309,0.0,0.835,0.083,0.083
2310,-0.6369,0.842,0.112,0.046
2311,0.3612,0.797,0.089,0.114
2312,0.7003,0.843,0.057,0.1
2313,-0.3384,0.828,0.081,0.09
2314,0.9442,0.858,0.056,0.086
2315,-0.6908,0.808,0.155,0.037
2316,0.9733,0.871,0.048,0.082
2317,-0.9996,0.723,0.277,0.0
2318,-0.9799,0.79,0.15,0.06
2319,-0.8202,0.839,0.161,0.0
2320,0.4871,0.842,0.081,0.077
2321,-0.6705,0.858,0.113,0.029
2322,-0.7783,0.858,0.142,0.0
2323,0.1531,0.816,0.094,0.091
2324,0.7998,0.825,0.066,0.11
2325,-0.7783,0.85,0.15,0.0
2326,0.9074,0.842,0.051,0.106
2327,-0.0258,0.784,0.115,0.101
2328,0.8765,0.799,0.08,0.121
2329,0.9754,0.81,0.058,0.131
2330,-0.9201,0.866,0.104,0.03
2331,-0.9995,0.728,0.272,0.0
2332,0.3623,0.828,0.075,0.097
2333,-0.8746,0.82,0.115,0.065
2334,-0.9274,0.943,0.057,0.0
2335,-0.5994,0.867,0.072,0.061
2336,0.7909,0.873,0.047,0.079
2337,-0.9996,0.723,0.277,0.0
2338,-0.7783,0.874,0.126,0.0
2339,-0.9474,0.918,0.066,0.017
2340,0.6485,0.886,0.053,0.061
2341,-0.9678,0.866,0.078,0.056
2342,-0.9022,0.803,0.172,0.024
2343,-0.8918,0.84,0.141,0.019
2344,0.941,0.8,0.076,0.123
2345,0.3365,0.81,0.086,0.104
2346,0.368,0.855,0.068,0.077
2347,0.9999,0.868,0.056,0.076
2348,0.9808,0.796,0.082,0.123
2349,0.984,0.803,0.076,0.121
2350,0.9884,0.808,0.07,0.122
2351,-0.9974,0.793,0.136,0.071
2352,-0.9406,0.753,0.153,0.093
2353,-0.9422,0.848,0.109,0.043
2354,0.7028,0.75,0.135,0.116
2355,-0.8095,0.913,0.087,0.0
2356,0.9732,0.807,0.065,0.128
2357,0.5372,0.79,0.094,0.115
2358,-0.1926,0.884,0.064,0.052
2359,0.9742,0.77,0.049,0.181
2360,-0.7783,0.855,0.145,0.0
2361,-0.9586,0.825,0.102,0.073
2362,-0.9153,0.868,0.092,0.04
2363,-0.9645,0.832,0.097,0.071
2364,0.9468,0.821,0.055,0.125
2365,-0.7783,0.827,0.173,0.0
2366,0.9567,0.717,0.081,0.203
2367,0.6597,0.807,0.081,0.112
2368,0.9953,0.862,0.041,0.096
2369,0.5423,0.862,0.062,0.076
2370,-0.3595,0.762,0.147,0.091
2371,0.9255,0.658,0.103,0.238
2372,-0.296,0.827,0.106,0.067
2373,-0.3802,0.835,0.105,0.06
2374,0.91,0.807,0.058,0.134
2375,0.9952,0.685,0.05,0.265
2376,0.9812,0.801,0.053,0.147
2377,0.9347,0.785,0.072,0.143
2378,0.9807,0.773,0.062,0.165
2379,0.6209,0.84,0.065,0.095
2380,-0.7843,0.849,0.125,0.026
2381,-0.51,0.861,0.086,0.053
2382,-0.7576,0.84,0.102,0.059
2383,-0.2491,0.863,0.075,0.062
2384,-0.6365,0.846,0.091,0.063
2385,-0.6365,0.844,0.092,0.064
2386,-0.1521,0.851,0.077,0.071
2387,-0.1521,0.851,0.077,0.071
2388,-0.5853,0.842,0.088,0.07
2389,0.6318,0.755,0.099,0.146
2390,0.9342,0.792,0.062,0.147
2391,-0.1027,0.879,0.062,0.059
2392,-0.7783,0.816,0.184,0.0
2393,0.796,0.818,0.074,0.108
2394,-0.7998,0.911,0.089,0.0
2395,-0.9303,0.832,0.095,0.073
2396,0.9346,0.775,0.085,0.14
2397,0.466,0.889,0.047,0.063
2398,-0.6908,0.839,0.13,0.031
2399,0.9439,0.883,0.045,0.072
2400,0.8479,0.872,0.059,0.069
2401,0.8313,0.871,0.061,0.068
2402,-0.8402,0.843,0.157,0.0
2403,0.1531,0.833,0.085,0.081
2404,-0.8442,0.906,0.077,0.017
2405,-0.7783,0.85,0.15,0.0
2406,-0.9174,0.852,0.105,0.043
2407,0.376,0.862,0.068,0.07
2408,0.8016,0.839,0.068,0.092
2409,-0.999,0.726,0.274,0.0
2410,-0.5616,0.848,0.082,0.07
2411,-0.7357,0.852,0.103,0.045
2412,-0.9589,0.842,0.093,0.065
2413,-0.9589,0.842,0.093,0.065
2414,-0.8591,0.846,0.154,0.0
2415,-0.9811,0.758,0.132,0.11
2416,-0.9735,0.758,0.13,0.112
2417,-0.9657,0.745,0.255,0.0
2418,0.9735,0.815,0.077,0.107
2419,0.6145,0.868,0.063,0.068
2420,-0.7783,0.868,0.132,0.0
2421,0.775,0.795,0.066,0.139
2422,0.995,0.76,0.046,0.193
2423,0.9962,0.753,0.095,0.152
2424,-0.9767,0.899,0.061,0.04
2425,0.9366,0.8,0.075,0.125
2426,0.9737,0.839,0.047,0.114
2427,0.9878,0.767,0.1,0.134
2428,0.9948,0.755,0.1,0.145
2429,-0.8399,0.879,0.121,0.0
2430,-0.4325,0.872,0.082,0.046
2431,-0.3043,0.832,0.091,0.077
2432,0.0292,0.843,0.081,0.076
2433,-0.7184,0.85,0.125,0.025
2434,0.9709,0.838,0.049,0.113
2435,-0.8789,0.823,0.11,0.067
2436,-0.4588,0.831,0.109,0.06
2437,0.9878,0.767,0.055,0.177
2438,0.9408,0.796,0.075,0.13
2439,-0.128,0.834,0.085,0.081
2440,-0.7783,0.877,0.123,0.0
2441,-0.5423,0.85,0.094,0.056
2442,0.9936,0.746,0.068,0.186
2443,0.0258,0.867,0.066,0.067
2444,0.4215,0.86,0.058,0.083
2445,-0.1027,0.852,0.073,0.075
2446,-0.4696,0.849,0.09,0.06
2447,-0.6553,0.812,0.133,0.055
2448,0.6081,0.865,0.068,0.068
2449,-0.9146,0.897,0.061,0.041
2450,0.4895,0.911,0.046,0.043
2451,0.9343,0.797,0.049,0.155
2452,-0.6448,0.859,0.11,0.032
2453,-0.7783,0.866,0.134,0.0
2454,-0.6705,0.858,0.113,0.029
2455,-0.4528,0.957,0.028,0.015
2456,0.9522,0.74,0.068,0.192
2457,0.9084,0.891,0.04,0.069
2458,0.9993,0.791,0.066,0.142
2459,0.8436,0.8,0.063,0.136
2460,0.9993,0.788,0.068,0.144
2461,0.964,0.715,0.068,0.216
2462,0.9907,0.794,0.038,0.168
2463,0.5904,0.845,0.064,0.091
2464,0.9581,0.717,0.078,0.205
2465,0.8841,0.843,0.074,0.083
2466,0.9952,0.75,0.059,0.191
2467,0.9371,0.819,0.072,0.109
2468,-0.6868,0.867,0.104,0.029
2469,-0.8091,0.817,0.153,0.03
2470,-0.9716,0.781,0.129,0.09
2471,0.9974,0.843,0.02,0.138
2472,-0.5249,0.897,0.057,0.047
2473,0.9847,0.797,0.088,0.115
2474,0.9533,0.82,0.049,0.132
2475,0.4588,0.881,0.059,0.059
2476,-0.7506,0.843,0.124,0.034
2477,-0.9413,0.728,0.172,0.1
2478,0.8327,0.832,0.065,0.103
2479,-0.5106,0.902,0.065,0.033
2480,0.1779,0.828,0.088,0.085
2481,-0.9962,0.789,0.211,0.0
2482,-0.9933,0.772,0.228,0.0
2483,-0.9712,0.799,0.141,0.061
2484,0.9013,0.875,0.044,0.081
2485,-0.9876,0.808,0.14,0.052
2486,-0.3094,0.88,0.068,0.051
2487,-0.9971,0.744,0.195,0.061
2488,0.6124,0.83,0.082,0.089
2489,-0.9976,0.764,0.178,0.059
2490,-0.7964,0.857,0.119,0.025
2491,-0.6655,0.818,0.106,0.075
2492,-0.7783,0.836,0.164,0.0
2493,-0.7184,0.819,0.15,0.031
2494,0.046,0.837,0.091,0.072
2495,-0.7783,0.839,0.161,0.0
2496,-0.0516,0.864,0.069,0.067
2497,0.8773,0.818,0.06,0.122
2498,-0.7783,0.85,0.15,0.0
2499,-0.7685,0.869,0.116,0.015
2500,-0.643,0.87,0.085,0.045
2501,-0.7684,0.805,0.147,0.049
2502,-0.3485,0.892,0.066,0.042
2503,-0.3612,0.86,0.074,0.066
2504,-0.4871,0.826,0.113,0.062
2505,-0.8126,0.854,0.146,0.0
2506,-0.2023,0.844,0.083,0.073
2507,-0.6369,0.858,0.101,0.041
2508,-0.7783,0.842,0.158,0.0
2509,-0.8426,0.904,0.072,0.024
2510,-0.7783,0.839,0.161,0.0
2511,-0.9976,0.768,0.173,0.059
2512,0.7478,0.843,0.052,0.104
2513,-0.7599,0.877,0.072,0.051
2514,0.5984,0.867,0.064,0.068
2515,-0.2714,0.74,0.157,0.103
2516,0.9843,0.733,0.048,0.219
2517,0.765,0.853,0.056,0.091
2518,0.9938,0.824,0.041,0.136
2519,0.6808,0.712,0.125,0.162
2520,0.9288,0.757,0.076,0.168
2521,-0.3736,0.828,0.093,0.079
2522,-0.7268,0.738,0.202,0.06
2523,0.6696,0.868,0.059,0.073
2524,0.8708,0.838,0.071,0.091
2525,0.9958,0.845,0.048,0.107
2526,0.7154,0.77,0.086,0.144
2527,-0.5423,0.841,0.102,0.057
2528,-0.8402,0.84,0.112,0.048
2529,-0.9274,0.743,0.257,0.0
2530,-0.98,0.811,0.1,0.089
2531,-0.9984,0.782,0.148,0.07
2532,-0.9888,0.742,0.258,0.0
2533,-0.7783,0.845,0.155,0.0
2534,-0.9355,0.731,0.179,0.09
2535,0.9924,0.792,0.028,0.18
2536,-0.7783,0.842,0.158,0.0
2537,0.3612,0.839,0.073,0.088
2538,-0.7096,0.935,0.053,0.012
2539,-0.6671,0.902,0.078,0.021
2540,0.8625,0.782,0.09,0.129
2541,-0.56,0.899,0.064,0.038
2542,-0.7783,0.842,0.158,0.0
2543,-0.2368,0.833,0.092,0.075
2544,-0.7587,0.896,0.088,0.016
2545,-0.7476,0.926,0.057,0.017
2546,-0.4939,0.864,0.1,0.036
2547,0.5913,0.865,0.053,0.082
2548,-0.8531,0.933,0.057,0.01
2549,0.9892,0.813,0.073,0.114
2550,0.9912,0.762,0.069,0.17
2551,0.2732,0.807,0.096,0.097
2552,0.753,0.816,0.073,0.11
2553,0.9848,0.805,0.081,0.114
2554,-0.7579,0.876,0.102,0.022
2555,-0.7783,0.872,0.128,0.0
2556,0.9064,0.806,0.076,0.118
2557,0.1926,0.909,0.042,0.048
2558,0.6037,0.919,0.032,0.049
2559,-0.7783,0.87,0.13,0.0
2560,-0.9991,0.789,0.116,0.095
2561,0.994,0.735,0.101,0.164
2562,0.9953,0.86,0.036,0.104
2563,-0.9701,0.899,0.067,0.034
2564,0.9881,0.765,0.055,0.18
2565,-0.128,0.847,0.084,0.069
2566,0.25,0.838,0.077,0.086
2567,-0.6808,0.804,0.157,0.039
2568,0.9678,0.841,0.048,0.111
2569,-0.1446,0.804,0.103,0.093
2570,0.9815,0.807,0.049,0.144
2571,-0.6597,0.887,0.089,0.024
2572,-0.9908,0.722,0.185,0.093
2573,-0.5525,0.954,0.034,0.012
2574,-0.7783,0.86,0.14,0.0
2575,0.0,0.88,0.064,0.056
2576,-0.7783,0.845,0.155,0.0
2577,-0.765,0.79,0.117,0.093
2578,-0.9984,0.692,0.271,0.036
2579,-0.6486,0.907,0.073,0.021
2580,-0.9002,0.829,0.121,0.05
2581,-0.9738,0.653,0.27,0.077
2582,-0.8665,0.827,0.173,0.0
2583,0.9633,0.846,0.046,0.108
2584,0.7428,0.788,0.088,0.124
2585,-0.7783,0.89,0.11,0.0
2586,0.9444,0.849,0.057,0.094
2587,0.9879,0.776,0.034,0.19
2588,-0.871,0.828,0.172,0.0
2589,-0.9977,0.847,0.106,0.047
2590,0.9118,0.853,0.064,0.083
2591,-0.5948,0.848,0.098,0.053
2592,-0.2187,0.872,0.063,0.064
2593,0.7494,0.846,0.06,0.094
2594,-0.9946,0.753,0.218,0.03
2595,0.6428,0.881,0.041,0.079
2596,0.9656,0.708,0.125,0.167
2597,-0.8271,0.846,0.154,0.0
2598,-0.5859,0.805,0.124,0.071
2599,-0.9792,0.752,0.238,0.01
2600,0.9819,0.705,0.129,0.166
2601,0.25,0.897,0.042,0.061
2602,-0.772,0.831,0.142,0.027
2603,-0.9928,0.745,0.146,0.109
2604,0.128,0.889,0.054,0.057
2605,-0.8768,0.854,0.076,0.07
2606,0.7757,0.865,0.054,0.08
2607,-0.1431,0.839,0.075,0.085
2608,0.8504,0.832,0.049,0.118
2609,-0.6696,0.873,0.091,0.036
2610,0.166,0.896,0.056,0.048
2611,-0.8535,0.859,0.071,0.07
2612,-0.6705,0.878,0.097,0.025
2613,0.9356,0.845,0.037,0.118
2614,-0.8609,0.857,0.074,0.069
2615,-0.6597,0.831,0.133,0.036
2616,-0.9274,0.754,0.246,0.0
2617,-0.8765,0.866,0.134,0.0
2618,0.9311,0.808,0.068,0.125
2619,-0.6705,0.911,0.07,0.018
2620,0.782,0.869,0.049,0.081
2621,-0.5994,0.868,0.099,0.033
